Λήμμα,Επεξήγηση,Άρθρο
Αράδα,Αμέσως,sing.F
Αράντα,Ο περίβολος του σπιτιού,sing.F
Αράτα,Ρώγα σταφυλιού,sing.F
Αράτα,Ρώγα στήθους,sing.F
Αράϊντα,Ο περίβολος του σπιτιού,sing.F
Αρέκια,Τραγούδια προχειροφτιαγμένα,plur.N
Αρέντα,Γρήγορα,sing.F
Αρέντε Πλησίον,Κοντά,null
Αρέστο,Το κρατητήριο,sing.N
Αρίδα,Τρυπάνι,sing.F
Αραβούντουλα,Το τιμόνι της βάρκας,sing.F
Αραβούντουλα,Η λαγουδέρα,sing.F
Αραγκιό,Η τάξη,sing.N
Αραγκιό,Το συστηματικό,sing.N
Αρβάλι,Σιδερένια λαβή του ξύλινου κουβά,sing.N
Αργάζω,Οργώνω,null
Αργάζω,Κατεργάζομαι,null
Αργάζω,Επεξεργάζομαι,null
Αργάτης,Ο κοχλίας της αλεστικής μηχανής,sing.M
Αργαστήρι,Καφενείο,sing.N
Αργατικός,Εργάτης,sing.M
Αργατινή,Εργάσιμη μέρα,sing.F
Αργούντουλα,Η Λαγουδέρα,sing.F
Αργούντουλα,Το ξύλο που κουνά το τιμόνι της βάρκας,sing.F
Αργυρομαστραπάς,Ασημένια κανάτα,sing.M
Αρεβολίζω,Πάω και έρχομαι γρήγορα,null
Αρεσκειά,Προικοσύμφωνο,sing.F
Αρεστάδος,Κρατούμενος,sing.M
Αρθούνι,Το ρουθούνι,sing.N
Αριβάρω,Έρχομαι,null
Αρκίβιο,Αρχειοφυλάκειο,sing.N
Αρκεβίστας,Αρχειοφύλακας,sing.M
Αρκούμπουζο,Είδος πυροβόλου όπλου,sing.N
Αρμάρι,Ντουλάπι,sing.N
Αρμίδι,Πετονιά για ψάρεμα,sing.N
Αρμακαδίνα,Κεντρικό δοκάρι σκεπής,sing.F
Αρμακόλου,Έβαλε το σακκάκι στην πλάτη,null
Αρμαρόνι,Ντουλάπι,sing.N
Αρμενάλια,Σοφίτες,plur.N
Αρμουριχτό,Είδος πετονιάς,sing.N
Αρτίζω,Βάζω λάδι στο ψωμί,null
Αρτίζω,Ετοιμάζω το φαγητό,null
Αρτίκολο πρίμο,Πρώτη ενέργεια,sing.N
Αρτίκολο πρίμο,Πρώτη δουλειά,sing.N
Αρτερία,Αρτηρία,sing.F
Αρτερατσιό,Ελαφρύς πυρετός,sing.N
Αρτερατσιό,Δέκατα,sing.N
Αρτσιπέλαο,Πολύ μακριά,sing.N
Αρτύθηκα,Έφαγα κάτι που δεν έπρεπε την Σαρακοστή,null
Αρόδου,Ανοικτά στη θάλασσα,null
Αρόντα,Τρεχάλα,sing.F
Αρόντεψε,Τρέξε,null
Ασέδιο,Πολιορκία,sing.N
Ασένιο,Νόημα,sing.N
Ασενιάρω,Δίνω,null
Ασενιάρω,Μεταβιβάζω,null
Ασκάρδα,Σκελίδα,sing.F
Ασκάρδη,Σκελίδα,sing.F
Ασκέλα,Αγριολάχανο,sing.F
Ασκέλα,Είδος λοστού που η άκρη του υποβοηθούταν από τη μασχάλη,sing.F
Ασκοποθώνο,Σηκώνομαι και κάθομαι συνέχεια,null
Ασκρουμένομαι,Προσέχω να ακούσω,null
Ασκός,"Αυγό που έγινε χωρίς τσόφλι, μόνο με την μεμβράνη",sing.M
Ασκώνω,Σηκώνω,null
Ασμίλαγκας,Το φυτό Σμίλαξ,sing.M
Ασουμέρω,Λαμβάνω,null
Ασουμέρω,Δέχομαι,null
Ασούμπρα,Αγκαζέ,null
Ασούσουμος,Αγνώριστος,sing.M
Ασπάλαθρας,"Κύτισος, (Αγκαθωτό φυτό)",sing.M
Ασπετά,Περιμένω,null
Ασπουκλο,Αγριοκρέμμυδο,sing.N
Αστάκι,Ο καρπός του καλαμποκιού,sing.N
Αστράκα,Θάμνος της ακτής,sing.F
Αστρακερή,Η τοποθεσία που έχει καλυφθεί από αστράκες,sing.F
Ασύσταγος,Ανοικοκύρευτος,sing.M
Ατίβα,Έτοιμη,null
Ατίβα,Ικανή για κάθε τι,null
Ατεντέντερε,Ακούω,null
Ατεντέντερε,Πείθομαι,null
Ατεντέντερε,Συμμορφώνομαι,null
Ατζάρδο,Τόλμημα,sing.N
Ατούρα,Πονοκέφαλος εγγύου,sing.F
Ατρέτζο,Σύνολο πραγμάτων απαραίτητων για ορισμένη χρήση,null
Ατρέχα,Τρεχάλα,sing.F
Ατσάρδο,Κίνδυνος,sing.N
Ατσήρω,Αποδέχομαι,null
Ατσίτο,Οξύ,sing.N
Ατσαλωσιά,Η σκλήρυνση του σιδήρου με την θέρμανση και το απότομο κρύωμα στο νερό η στο λάδι,sing.F
Ατσαρδόζος,Ριψοκίνδυνος,sing.M
Ατσιτέντε,Το τυχαίο συμβάν,sing.M
Αυγακότης,Αυγουλάς,sing.M
Αυγινό,Η ακολουθία του όρθρου,sing.N
Αυγουστέλι,Ράτσα σύκου,null
Αυγοφόλι,Πέτρα σε σχήμα αυγού που έβαζαν στη φωλιά της κότας για να την ξεγελάσουν και να γεννήσει εκεί.,
Αυγοχόλι,Ψεύτικο αυγό για να γεννούν οι κότες,sing.N
Αυγώνει,Η κότα ετοιμάζεται να γεννήσει,null
Αυριοσύνη,"Η αυριανή ημέρα, το μέλλον, το αύριο",sing.F
Αυχαριστία,Αχαριστία,sing.F
Αφάνο,Δύσπνοια,sing.N
Αφέντης,Ο πατέρας,sing.M
Αφαλοκομός,Η ομφαλοκοπή,sing.M
Αφιδεύομαι,Εμπιστεύομαι,null
Αφισάδος,Προσηλωμένος,sing.M
Αφισάρω,Είμαι προσηλωμένος,null
Αφιτιβαμέντε,Πραγματικά,null
Αφοδιά,Αυλή σπιτιού,sing.F
Αφούντου,Χάθηκε,null
Αφούφου,Ολική καταστροφή,null
Αφούφου,Ανατίναξη,null
Αφούφου,Ολοκαύτωμα,null
Αφόρκος,Επίορκος,sing.M
Αχαμνός,Χλωμός,sing.M
Αχαρολόϊστη,Άχαρη,sing.F
Αψήλου,Τυχερό παιχνίδι του δρόμου (κορώνα –γράμματα),null
Αψήλου,Ψηλά,null
Αψιής,Οξύθυμος,sing.M
Αψώνω,Φουντώνω,null
Αψώνω,Ζεσταίνομαι,null
Βάγια,"Τα Θεοφάνεια, η Κυριακή των Βαίων",plur.N
Βάζο,Ο πήλινος σωλήνας των παλαιών αποχετεύσεων,sing.N
Βάλε αμέντι,Σκέψου,null
Βάραγγας,Λάρυγγας,sing.M
Βάρτου,Βάρα του,null
Βάσκα,Μπανιέρα,sing.F
Βάσκα,Η μεγάλη λεκάνη,sing.F
Βάσκα,Στέρνα,sing.F
Βέλιουρας,Σκουλήκι που χρησιμεύει για δόλωμα,sing.M
Βένα,Φέτα πετρώματος,sing.F
Βένα,Φλέβα,sing.F
Βένα,Κληρονομικότητα,sing.F
Βένταμα,Φτερούγισμα,sing.N
Βέντουλο,Βεντάλια ή χαρτόνι για το φυσημα της φωτιάς,sing.N
Βέρντε,Πράσινο χρώμα,sing.N
Βέρσο,Συμπεριφορα,sing.N
Βέστα,Γυναικείο φόρεμα,sing.F
Βέτζες,Στη θέση του,null
Βήσαλο,Σπασμένο και αιχμηρό κομμάτι,sing.N
Βίβες,Προπόσεις,plur.M
Βίγλα,Επιμέλεια,sing.F
Βίγλα,Φροντίδα,sing.F
Βίγλα,Επιτήρηση,sing.F
Βίγλα,Παρατηρητήριο,sing.F
Βίδιο,Άλλη φορά,sing.N
Βίζιτα,Επίσκεψη,sing.F
Βίκα,Ταμιτζάνα,sing.F
Βίκος,Ζωοτροφή,sing.M
Βίρα,Βέρα,sing.F
Βίσαλο,Κομματάκι σπασμένου πιάτου ή κεραμικού.,sing.N
Βίτζο,Αντιπλοίαρχος,sing.M
Βίτος,Αρσενικό περιστέρι,sing.M
Βίτσα,Ξύλινη βέργα,sing.F
Βαίσω,Λυγίσω,null
Βαβιλάτο,Το χρώμα της χρυσόμυγας (μαυροπράσινο),sing.N
Βαβύλα,Χρυσόμυγα (Λέγεται και βάβυλας και μάλλον ονομάστηκε έτσι aπό το Βαβυλωνία από το βουιτό του),sing.F
Βαγαπόντες,Απατεώνας,sing.M
Βαγγελίζω,Περνάω κάτω από το ευαγγέλιο της κυριακάτικης λειτουργίας για να αποφύγω κάποιο κακό που φοβάμαι,null
Βαγιάνα,Το ψάρι Σκαθάρι,sing.F
Βαγιοφόρα,Πλέγμα από φύλλα φοινικιάς για την Κυριακή των Βαίων,sing.F
Βαιλεύω,Κουράρω,null
Βαιλεύω,Φροντίζω,null
Βαιλεύω,Νταντεύω,null
Βαιλεύω,Κανακεύω,null
Βακέτα,Μερικώς κατεργασμένο δέρμα,sing.F
Βαλάγγι,Βελανίδι,sing.N
Βαλάνεια,Βελανίδια,plur.N
Βαλάρω,Βρίσκομαι σε αμηχανία,null
Βαλανίδα,Αδένας του λαιμού,sing.F
Βαλερόζος,Άξιος,sing.M
Βαλούτο,Βαρύ,sing.N
Βαλούτο,Άξίζει τα λεφτά του,sing.N
Βαμμένος,Ο αποφασισμένος για να κάνει κάποιο κακό,sing.M
Βαντάγιο,Κέρδος,sing.N
Βαντάκα,Πάνινο δέμα με ρούχα,sing.F
Βαντάκα,Μεταφορικά η χονδρή γυναίκα,sing.F
Βαντιέρα,Δίσκος σερβιρίσματος,sing.F
Βαραμέντε,Επιτέλους,null
Βαραμέντε,Εν κατακλείδει,null
Βαρβαρίτσα,Δερματικό εξόγκωμα,sing.F
Βαρβαρίτσα,Κρεατοελιά,sing.F
Βαρδάτσα,Ράτσα άσπρου κορόμηλου,sing.F
Βαρδακούρι,Αμάνικο πουλόβερ,sing.N
Βαρδακούρι,Γιλέκο,sing.N
Βαρδιόλα,Σκοπιά,sing.F
Βαρζί,Κόκκινη βαφή χειλιών από ένα φυτό,sing.N
Βαρκός,Βάλτος,sing.M
Βαρκός,Η μόνιμα υγρή γη,sing.M
Βατεύω,Κάνω έρωτα,null
Βατεύω,Γονιμοποιώ,null
Βατσέλα,Λεκάνη,sing.F
Βατσέλι,Λεκανάκι,sing.N
Βατσέλι,Νιπτήρας,sing.N
Βατσίνα,Εμβόλιο,sing.F
Βατσουνιά,Βάτος,sing.F
Βδέλι,Μεταλλικό περιστρεφόμενο στερέωμα παραθυρόφυλλου,sing.N
Βεγγέρα,Γλέντι,sing.F
Βελέντζες,Υποκλίσεις,plur.M
Βελέσι,Χονδρό ρούχο,sing.N
Βελέσι,Παλτό,sing.N
Βελανίδα,Το ψάρι Ζαργάνα,sing.F
Βελανίδα,Η βελόνα,sing.F
Βελιόνι,Ξενύχτι,sing.N
Βελονάς,Θήκη για βελόνια ραψίματος,sing.M
Βελοτσιπέ,Το ποδήλατο,sing.N
Βενέτικο,Ράτσα κόκκινου μήλου,sing.N
Βενζίνα,Καϊκι μηχανοκίνητο,sing.F
Βεντάριο,Ευρετήριο,sing.N
Βεντέμα,Τρύγος,sing.F
Βεντερούγα,Αρρώστια που προκαλεί κύρτωση της πλάτης,sing.F
Βεντερούγα,Η πίσω μεριά των πλευρών,sing.F
Βεντερούγα,Καμπούρα,sing.F
Βεντερούγα,Ραχίτιδα,sing.F
Βεντρειά,Η πλαϊνή πλευρά των πλευρών,sing.F
Βεντριά,Τα πλευρά του ανθρώπου,sing.F
Βερίνες,Οι βόλτες που παίρνει το σχοινί,plur.M
Βεραμέντε,Αλήθεια,null
Βερβελίδι,Αγριολάχανο,sing.N
Βερβελίδια,Βολβοί,plur.N
Βερβερίτσα,Κρεατοελιά,sing.F
Βεργέτα,Σκουλαρίκι κρίκος,sing.F
Βερμαλίζω,Φλυαρώ,null
Βερντούρα,Σαλάτα λαχανικών,sing.F
Βερτζότο,Πλατύφυλλο Κραμπή,sing.N
Βερτσελάδο,Χυμένο,sing.N
Βερτσελάδο,Διάχυτο,sing.N
Βεσπασιανή,Δημόσιο ουρητήριο,sing.F
Βεστάγια,Γυναικεία ρόμπα,sing.F
Βεστιέρα,Ρόμπα,sing.F
Βετούλης,Έφηβος,sing.M
Βιάτζο,Ταξίδι κυρίως για δουλείες,sing.N
Βιατζάρω,Ταξιδεύω,null
Βιβάρι,Ιχθυοτροφείο,sing.N
Βιδέλο,Δέρμα για σόλες παπουτσιών,sing.N
Βιζιγάντι,Κατάπλασμα,sing.N
Βιλάνος,Άξεστος χωριάτης,sing.M
Βιλάρι,Τόπι υφάσματος,sing.N
Βινιέτα,Διακοσμητικό περίγραμμα,sing.F
Βινιέτα,Σχέδιο,sing.F
Βιντινέλα,Χονδρό ύφασμα,sing.F
Βινώ,Συνουσιάζομαι παράνομα,null
Βιρβιρίκι,Θυλίτσα από κλωστή,sing.N
Βιρτσίνος,Χρεωμένος,sing.M
Βιτσιτσιόλι,Μικρό πουλάκι,sing.N
Βλησίδι,Κόσμημα που προσφέρεται στη νύφη,sing.N
Βλησίδι,Τάμα σε εικόνα,sing.N
Βογγύλι,"Χονδρό κομμάτι, λέγεται και για το νερό που τρέχει",sing.N
Βολά,Φορά,sing.F
Βολήμι,Το μέταλλο Μόλυβδος,sing.N
Βολίμι,Το μέταλλο Μόλυβδος,sing.N
Βολεί,Με βολεύει,null
Βολτατέστα,Συνένωση κατασκευής γείσου υπό γωνία,sing.F
Βολτετσάρω,Κάνω άσκοπες περιπλανήσεις,null
Βοντεσπίτσιο,Προεξοχή με παράθυρο από τα κεραμύδια της σοφίτας,sing.N
Βοραντζένα,Φυτό,sing.F
Βοραντζένα,Βούγλωσσο,sing.F
Βουλτοκάβαλα,Κόπρανα γαϊδάρων,plur.N
Βουντζουριχτός,Τρεχάτος,sing.M
Βουρδούλιο,Ρεζίλι,sing.N
Βουρδούλιο,Φασαρία,sing.N
Βουρδούλιο,Θεατρινισμοί,sing.N
Βουρλίνια,Νεύρα,plur.N
Βουρλιάζω,Περνάω την κλωστή στην βελόνα,null
Βουρλισιά,Τρέλα,sing.F
Βουρλισμένος,Τρελός,sing.M
Βουρλιταριό,Τρελοκομείο,sing.N
Βουτζί,Μεγάλο βαρέλι,sing.N
Βουτιτσέλι,Πουλί των λιμνών που βουτάει για να βρεί ψάρια,sing.N
